GEO_ID,NAME,Ratio_women_to_men,Percent_hispanic_or_latino,Percent_white,Percent_black,Percent_asian,median_household_income,Ratio_female_labor_16_yrs_and_older,Bachelor_degree_or_higher,Average_household_size
8600000US10033,ZCTA5 10033,0.9726965845909452,0.6851879812773668,0.45518143842166187,0.14489908903316726,0.0327646081836026,58614,0.4649951842041897,15722,2.99
8600000US10069,ZCTA5 10069,1.1601529311809686,0.011209439528023599,0.6548672566371682,0.038741396263520154,0.3333333333333333,110625,0.5413028878441908,3239,1.99
8600000US10111,ZCTA5 10111,None,None,None,None,None,None,None,0,None
8600000US10115,ZCTA5 10115,None,None,None,None,None,None,None,0,None
8600000US10128,ZCTA5 10128,1.33862183282027,0.12331240718239503,0.8292662346429054,0.04738760631834751,0.12386931281220467,114010,0.5383665360038662,39107,1.92
8600000US10153,ZCTA5 10153,None,None,None,None,None,None,None,0,None
8600000US10169,ZCTA5 10169,None,None,None,None,None,None,None,0,None
8600000US10455,ZCTA5 10455,1.0961233392821732,0.7183028640351915,0.13854267672587092,0.3202232575739659,0.01672066788070856,26801,0.5022883926109732,3036,2.85
8600000US10310,ZCTA5 10310,1.1023045639403524,0.31600894162152865,0.6233771816696758,0.2321812397902158,0.07136101796922019,72093,0.4917844860527321,5322,2.77
8600000US10453,ZCTA5 10453,1.196269933234012,0.6915433510036932,0.102806321131573,0.3399618119237243,0.018239831168504885,25275,0.5170505062093097,6036,2.86
8600000US10454,ZCTA5 10454,1.0684931506849316,0.6794230819569144,0.14580006805748238,0.33874303065204303,0.007983666204224799,21149,0.46220626631853784,1718,2.83
8600000US10458,ZCTA5 10458,1.0774464926388716,0.6975107193901858,0.20163172939494997,0.22582181991424488,0.03752977608384945,33932,0.4864606882692791,6904,2.96
8600000US10469,ZCTA5 10469,1.1483204885851388,0.2899417896304318,0.2041830242317585,0.5614863950182754,0.06956816028157574,63652,0.5050396162345713,12840,3.18
8600000US10007,ZCTA5 10007,0.7054395337542496,0.08258578954862594,0.811761355546063,0.055104656129859035,0.15135981774170582,246813,0.45195003823604385,4258,2.25
8600000US10019,ZCTA5 10019,0.9498951501360817,0.16767727615953137,0.7043452394572455,0.0719401414090566,0.1908564629430474,98833,0.4456112801387117,27131,1.70
8600000US10020,ZCTA5 10020,None,None,None,None,None,None,None,0,None
8600000US10021,ZCTA5 10021,1.1996668253212757,0.07928161852212486,0.8429081467056151,0.014735475494969166,0.11152223304122039,118289,0.495521278572756,30234,1.83
8600000US10038,ZCTA5 10038,1.131637995512341,0.14114035087719298,0.5496929824561404,0.10793859649122807,0.3374122807017544,86058,0.5003841425937308,9909,2.11
8600000US10039,ZCTA5 10039,1.3464793500338523,0.3382384765202337,0.157108850898074,0.663853422780062,0.020017312270071412,39653,0.5284283346544643,5490,2.44
8600000US10165,ZCTA5 10165,None,None,None,None,None,None,None,0,None
8600000US10302,ZCTA5 10302,0.9546869966713196,0.41084377059986815,0.6426609536365634,0.22132498352010546,0.08404746209624259,64103,0.4552625092432832,2955,2.94
8600000US10167,ZCTA5 10167,None,None,None,None,None,None,None,0,None
8600000US10278,ZCTA5 10278,None,None,None,None,None,None,None,0,None
8600000US10280,ZCTA5 10280,1.0960464596828232,0.08802216538789429,0.8110613810741688,0.03516624040920716,0.1663469735720375,169844,0.5129057798891528,6330,2.06
8600000US10303,ZCTA5 10303,1.0255269320843092,0.3893706401510772,0.4646009172544032,0.3770763479400316,0.08960573476702509,62558,0.4673007246376812,4052,3.16
8600000US11692,ZCTA5 11692,1.1518195797027166,0.24400933733504834,0.23705397551331522,0.6192177599923777,0.06236005907293602,44024,0.5620655412115194,3101,2.95
8600000US11102,ZCTA5 11102,1.0032520325203251,0.30753246753246755,0.6163311688311688,0.10957792207792208,0.16103896103896104,64067,0.4536054859102111,11326,2.33
8600000US11104,ZCTA5 11104,1.0162884051258299,0.3143305639572725,0.691067805046135,0.02565182434243271,0.23312531107622803,61269,0.4543171114599686,9465,2.25
8600000US11207,ZCTA5 11207,1.232980479751384,0.332764319575523,0.15907015178532596,0.6593745922672117,0.01963641108163354,37243,0.5380341377280753,9358,2.70
8600000US11213,ZCTA5 11213,1.1781055951637809,0.10649370239082886,0.246021570254167,0.6938833999547477,0.02847876913794404,41710,0.5336124256764956,12151,2.61
8600000US11216,ZCTA5 11216,1.1328787878787878,0.10795979256943951,0.3253356539035306,0.5942850039070825,0.0656212261135185,61121,0.5169698216332168,19942,2.31
8600000US11225,ZCTA5 11225,1.195696759518216,0.08343806256580959,0.29117557148194695,0.6544614653034884,0.03788933799802996,55862,0.5257298948481466,16562,2.44
8600000US11232,ZCTA5 11232,0.9296700223713646,0.5062676617636404,0.4562712846895153,0.08937758133468589,0.20541989710890515,56661,0.46573533500139,5898,2.90
8600000US11238,ZCTA5 11238,1.1404183509281425,0.10903923725705904,0.5066006600660066,0.4035936927026036,0.08303997066373305,85407,0.5300697269029634,26637,2.17
8600000US11358,ZCTA5 11358,1.0247168989547037,0.16835170744823877,0.4368647485883302,0.015730034955633236,0.48518418929819845,66129,0.4414967438881179,8771,2.85
8600000US11365,ZCTA5 11365,1.1060442904630368,0.19709668096836583,0.3720961252028544,0.09456905942244848,0.46215236867260967,66483,0.4743898246820213,11885,2.88
8600000US11003,ZCTA5 11003,1.031644149198797,0.1995890683339593,0.2470450478315622,0.5016459359741953,0.16547732143251662,97338,0.4792065496313796,9374,3.69
8600000US11103,ZCTA5 11103,1.0550437848288412,0.22700608743774212,0.7371887105700056,0.03646928610957388,0.16488655229662424,71437,0.4655617556425419,14908,2.30
